Nbre_de_piece,Prix,Adresse,Image_URL
4,150000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384802_uploaded_image1_1750461176.jpg
3,40000000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5384110_uploaded_image1_1750432434.jpg
4,1300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5384107_uploaded_image1_1750432315.jpg
Non spécifié,100000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383772_uploaded_image1_1750421277.jpg
1,50000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383058_uploaded_image1_1750374307.jpg
3,400000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382782_uploaded_image1_1750363610.jpg
4,450000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382669_uploaded_image1_1750357839.jpg
4,900000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339495_uploaded_image1_1747866444.jpg
4,800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339485_uploaded_image1_1747866193.jpg
2,200000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342225_uploaded_image1_1748018865.jpg
5,700000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342196_uploaded_image1_1748017592.jpg
4,350000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342192_uploaded_image1_1748017264.jpg
2,120000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341020_uploaded_image1_1747941978.jpg
3,200000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382178_uploaded_image1_1750339170.jpg
4,350000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382068_uploaded_image1_1750335045.jpg
3,130000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5350361_uploaded_image1_1748477684.jpg
2,300000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341225_uploaded_image1_1747952348.jpg
4,500000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337184_uploaded_image1_1747756625.jpg
2,180000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5380602_uploaded_image1_1750255847.jpg
2,500000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5380058_uploaded_image1_1750237896.jpg
3,55000000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5379351_uploaded_image1_1750187469.jpg
4,750000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342143_uploaded_image1_1748015672.jpg
4,170000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5338734_uploaded_image1_1747835863.jpg
3,150000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5338642_uploaded_image1_1747832924.jpg
4,150000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5338610_uploaded_image1_1747832193.jpg
4,400000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5338594_uploaded_image1_1747831896.jpg
Non spécifié,450000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5378712_uploaded_image1_1750163323.jpg
5,500000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5338249_uploaded_image1_1747822921.jpg
4,250000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5377739_uploaded_image1_1750109504.jpg
8,600000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5377736_uploaded_image1_1750109292.jpg
8,600000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5377732_uploaded_image1_1750108940.jpg
2,200000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5377499_uploaded_image1_1750097069.jpg
3,200000CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5377476_uploaded_image1_1750095871.jpg
3,700000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340616_uploaded_image1_1747922225.jpg
2,200000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5336937_uploaded_image1_1747746525.jpg
3,700000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340531_uploaded_image1_1747919478.jpg
5,600000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340442_uploaded_image1_1747917437.jpg
3,550000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340427_uploaded_image1_1747917102.jpg
